,count,freq
looked,16,0.004310344827586207
saddha,3,0.0008081896551724138
adzes,1,0.00026939655172413793
firmminded,3,0.0008081896551724138
stingy,2,0.0005387931034482759
jail,10,0.0026939655172413795
insignificant,6,0.0016163793103448276
foremostknowing,1,0.00026939655172413793
abhayagiri,1,0.00026939655172413793
kamenti,1,0.00026939655172413793
folding,12,0.003232758620689655
earthquake,5,0.0013469827586206897
uggahetabbam,1,0.00026939655172413793
manyfooted,2,0.0005387931034482759
extinction,23,0.006196120689655173
nikayas,3,0.0008081896551724138
vipphara,1,0.00026939655172413793
becomingcraving,2,0.0005387931034482759
corneating,4,0.0010775862068965517
catagories,1,0.00026939655172413793
peerless,12,0.003232758620689655
yearold,1,0.00026939655172413793
sukka,1,0.00026939655172413793
summary,17,0.0045797413793103444
asantam,1,0.00026939655172413793
vessavana,8,0.0021551724137931034
pingiya,8,0.0021551724137931034
threeknowledge,7,0.0018857758620689656
spikes,4,0.0010775862068965517
kosala,110,0.029633620689655173
tether,3,0.0008081896551724138
ablutions,1,0.00026939655172413793
intellection,2,0.0005387931034482759
ties,16,0.004310344827586207
recurring,5,0.0013469827586206897
unequal,1,0.00026939655172413793
equipoised,1,0.00026939655172413793
obstinate,6,0.0016163793103448276
daily,6,0.0016163793103448276
brahmanic,1,0.00026939655172413793
unfortunately,1,0.00026939655172413793
craving,829,0.22332974137931033
peculiar,3,0.0008081896551724138
sadness,11,0.002963362068965517
patched,3,0.0008081896551724138
dwarf,15,0.004040948275862069
maggapañña,1,0.00026939655172413793
describing,32,0.008620689655172414
developments,3,0.0008081896551724138
lanka,7,0.0018857758620689656
termination,9,0.0024245689655172415
obstructions,27,0.007273706896551724
falters,17,0.0045797413793103444
agara,1,0.00026939655172413793
flighty,2,0.0005387931034482759
banks,13,0.003502155172413793
attabhava,3,0.0008081896551724138
formperceptions,8,0.0021551724137931034
punishments,2,0.0005387931034482759
defence,1,0.00026939655172413793
profoundly,1,0.00026939655172413793
dhammavicayas,1,0.00026939655172413793
