,word,count,freq
13628,stressful,315,0.08485991379310345
15339,coming,314,0.08459051724137931
18857,vision,314,0.08459051724137931
4654,goes,313,0.08432112068965518
12083,exists,313,0.08432112068965518
10092,cosmos,312,0.08405172413793104
1905,bowed,311,0.08378232758620689
11527,pure,311,0.08378232758620689
713,brahma,308,0.08297413793103449
12804,forest,306,0.0824353448275862
17905,speak,302,0.08135775862068965
18346,greed,298,0.08028017241379311
10465,addressed,296,0.07974137931034482
15966,remain,296,0.07974137931034482
10010,ear,296,0.07974137931034482
1647,large,295,0.07947198275862069
5365,refuge,295,0.07947198275862069
8006,heart,295,0.07947198275862069
2892,effort,295,0.07947198275862069
9063,hold,295,0.07947198275862069
15917,phenomena,291,0.07839439655172414
13567,sangha,291,0.07839439655172414
377,kinds,289,0.07785560344827586
318,bad,289,0.07785560344827586
2975,robes,287,0.07731681034482757
18226,awakening,285,0.07677801724137931
11540,consummate,285,0.07677801724137931
12837,alert,284,0.07650862068965518
6208,sort,283,0.07623922413793104
5085,elephant,283,0.07623922413793104
10661,fourth,282,0.07596982758620689
14354,gain,281,0.07570043103448276
9485,lay,281,0.07570043103448276
2108,hell,279,0.07516163793103449
9932,despair,278,0.07489224137931035
13345,breathing,278,0.07489224137931035
414,community,277,0.0746228448275862
15042,enlightenment,276,0.07435344827586207
15800,entered,275,0.07408405172413793
232,conviction,274,0.0738146551724138
13560,understands,274,0.0738146551724138
10045,son,274,0.0738146551724138
9864,breakup,274,0.0738146551724138
13083,ardent,273,0.07354525862068965
13777,change,273,0.07354525862068965
5090,wish,273,0.07354525862068965
11727,according,272,0.07327586206896551
801,says,272,0.07327586206896551
16407,dwelling,272,0.07327586206896551
721,space,271,0.07300646551724138
4459,nature,271,0.07300646551724138
3734,development,271,0.07300646551724138
16921,goal,271,0.07300646551724138
3780,focused,270,0.07273706896551724
4665,head,270,0.07273706896551724
10580,understand,270,0.07273706896551724
2107,furthermore,270,0.07273706896551724
11397,experienced,266,0.07165948275862069
18397,taught,266,0.07165948275862069
6316,lamentation,265,0.07139008620689655
13781,experience,265,0.07139008620689655
17837,dear,264,0.07112068965517243
1754,bowl,264,0.07112068965517243
1973,seclusion,263,0.07085129310344827
3581,anger,261,0.0703125
19178,dwell,261,0.0703125
13393,disciples,259,0.06977370689655173
5684,wealth,259,0.06977370689655173
6317,integrity,259,0.06977370689655173
18513,infinitude,257,0.06923491379310345
18854,abstains,256,0.06896551724137931
17439,robe,256,0.06896551724137931
16995,fully,253,0.06815732758620689
13050,train,252,0.06788793103448276
15597,result,252,0.06788793103448276
8387,saw,251,0.06761853448275862
17885,verbal,251,0.06761853448275862
16354,attention,248,0.0668103448275862
1488,teach,246,0.06627155172413793
12376,lead,246,0.06627155172413793
12861,gives,246,0.06627155172413793
17716,men,245,0.0660021551724138
13258,direct,245,0.0660021551724138
7841,terms,245,0.0660021551724138
4316,destination,244,0.06573275862068965
13045,realized,244,0.06573275862068965
2480,extent,244,0.06573275862068965
9058,village,244,0.06573275862068965
8984,totally,243,0.06546336206896551
15467,tongue,243,0.06546336206896551
1285,livelihood,241,0.06492456896551724
14312,selfawakened,241,0.06492456896551724
4461,answer,240,0.06465517241379311
333,wisdom,239,0.06438577586206896
15370,kings,238,0.06411637931034482
614,takes,238,0.06411637931034482
15275,monastery,238,0.06411637931034482
17669,established,237,0.06384698275862069
6625,pursued,237,0.06384698275862069
7280,object,237,0.06384698275862069
16188,comprehension,237,0.06384698275862069
6908,home,236,0.06357758620689655
7276,mara,236,0.06357758620689655
16261,fetter,236,0.06357758620689655
11731,existence,236,0.06357758620689655
9948,benefit,235,0.06330818965517243
1107,leads,234,0.06303879310344827
13479,purity,234,0.06303879310344827
10558,dispassion,234,0.06303879310344827
2585,root,234,0.06303879310344827
15609,respect,234,0.06303879310344827
8081,doctrine,233,0.06276939655172414
18319,purified,232,0.0625
15940,ways,232,0.0625
1345,old,232,0.0625
6249,suppose,231,0.06223060344827586
1037,power,231,0.06223060344827586
6763,notself,231,0.06223060344827586
651,proper,230,0.06196120689655173
7266,mother,230,0.06196120689655173
9564,quality,229,0.061691810344827576
2999,occurred,229,0.061691810344827576
18789,fear,229,0.061691810344827576
8243,cognizable,228,0.06142241379310345
1933,gains,228,0.06142241379310345
2951,pleasures,227,0.06115301724137931
4961,dependence,227,0.06115301724137931
6134,contemplation,225,0.060614224137931036
8926,ended,225,0.060614224137931036
16697,heartwood,225,0.060614224137931036
11270,attainment,224,0.0603448275862069
18965,statement,223,0.06007543103448276
6658,overcome,222,0.059806034482758626
4902,doing,222,0.059806034482758626
15656,greetings,222,0.059806034482758626
8124,line,222,0.059806034482758626
18658,nose,221,0.059536637931034475
13038,days,221,0.059536637931034475
12408,possible,221,0.059536637931034475
13680,faculties,221,0.059536637931034475
2572,concentrated,220,0.05926724137931035
3106,realizing,219,0.058997844827586216
12755,complete,219,0.058997844827586216
15743,note,218,0.05872844827586207
10268,talk,217,0.05845905172413793
19223,lack,217,0.05845905172413793
2346,verse,215,0.05792025862068965
16761,highest,215,0.05792025862068965
10576,ask,214,0.057650862068965525
14818,strong,214,0.057650862068965525
15216,sake,213,0.057381465517241374
18712,persistence,212,0.05711206896551725
983,wilderness,212,0.05711206896551725
4680,restraint,212,0.05711206896551725
8513,reflection,212,0.05711206896551725
5326,affliction,212,0.05711206896551725
13704,ideas,211,0.0568426724137931
16699,faculty,211,0.0568426724137931
14110,understood,211,0.0568426724137931
18723,perceptions,211,0.0568426724137931
19025,destroyed,211,0.0568426724137931
11075,discipline,211,0.0568426724137931
6389,sounds,209,0.05630387931034483
9979,resolve,208,0.05603448275862069
15353,external,208,0.05603448275862069
6607,divine,208,0.05603448275862069
8959,wind,208,0.05603448275862069
13463,understanding,206,0.05549568965517242
3453,entire,205,0.055226293103448267
15348,seat,204,0.05495689655172414
14011,woman,203,0.0546875
16299,making,203,0.0546875
7375,disenchanted,203,0.0546875
6269,unbound,202,0.05441810344827586
4728,based,201,0.054148706896551733
15739,cut,200,0.05387931034482758
11915,foot,200,0.05387931034482758
14630,agreeable,200,0.05387931034482758
15710,pleasing,200,0.05387931034482758
8103,taken,200,0.05387931034482758
16625,word,199,0.05360991379310345
16150,wandering,197,0.053071120689655166
3062,declare,197,0.053071120689655166
6884,abiding,197,0.053071120689655166
7732,conditions,196,0.052801724137931036
8595,ground,196,0.052801724137931036
4871,merit,195,0.0525323275862069
1217,point,195,0.0525323275862069
5191,misconduct,195,0.0525323275862069
17354,arose,195,0.0525323275862069
9559,meal,195,0.0525323275862069
3201,welfare,195,0.0525323275862069
5120,lower,193,0.05199353448275862
2907,internally,193,0.05199353448275862
10629,occur,193,0.05199353448275862
3680,itself,193,0.05199353448275862
18983,left,193,0.05199353448275862
9771,feet,193,0.05199353448275862
7126,young,191,0.051454741379310345
2102,arrived,191,0.051454741379310345
18136,stands,191,0.051454741379310345
5362,awarenessrelease,190,0.051185344827586216
2980,years,190,0.051185344827586216
16456,practices,190,0.051185344827586216
11523,following,189,0.05091594827586207
3665,faith,189,0.05091594827586207
19350,speaks,189,0.05091594827586207
2635,carrying,189,0.05091594827586207
10841,grows,188,0.05064655172413793
1845,householders,188,0.05064655172413793
17812,feels,188,0.05064655172413793
12429,disappearance,188,0.05064655172413793
17718,heavenly,186,0.050107758620689655
11007,play,186,0.050107758620689655
4196,evaluation,185,0.04983836206896552
16398,peace,185,0.04983836206896552
2776,accordance,184,0.04956896551724138
6518,jetas,184,0.04956896551724138
15365,awakened,184,0.04956896551724138
12993,purpose,183,0.04929956896551725
9493,open,182,0.0490301724137931
4444,nothingness,182,0.0490301724137931
12490,media,182,0.0490301724137931
10652,clingingsustenance,182,0.0490301724137931
6680,unexcelled,182,0.0490301724137931
15332,tactile,182,0.0490301724137931
18498,bliss,180,0.048491379310344834
16304,insight,180,0.048491379310344834
12221,gratified,180,0.048491379310344834
14888,simply,180,0.048491379310344834
4200,short,179,0.04822198275862069
5995,fabrication,179,0.04822198275862069
17458,bright,178,0.04795258620689656
3253,keeps,178,0.04795258620689656
10308,dissolution,178,0.04795258620689656
3154,gods,178,0.04795258620689656
12760,practicing,177,0.04768318965517242
14059,offerings,177,0.04768318965517242
3828,freed,175,0.04714439655172414
13992,homage,175,0.04714439655172414
4685,approached,174,0.046875
17714,danger,174,0.046875
18288,discourse,173,0.04660560344827586
13547,calm,173,0.04660560344827586
17910,declared,173,0.04660560344827586
16483,getting,172,0.046336206896551733
2165,buddhas,172,0.046336206896551733
4885,father,172,0.046336206896551733
10590,homelessness,172,0.046336206896551733
17278,results,172,0.046336206896551733
14490,delighted,172,0.046336206896551733
14560,escape,172,0.046336206896551733
18577,directly,171,0.04606681034482758
6260,hair,171,0.04606681034482758
14867,false,170,0.04579741379310345
260,praise,170,0.04579741379310345
10050,various,169,0.04552801724137931
6803,sublime,169,0.04552801724137931
5159,effluents,169,0.04552801724137931
9235,possessed,168,0.045258620689655166
13249,defilements,167,0.044989224137931036
15538,constant,167,0.044989224137931036
18274,infinite,167,0.044989224137931036
12341,nameform,167,0.044989224137931036
17438,practiced,166,0.0447198275862069
12764,flesh,166,0.0447198275862069
9685,material,165,0.04445043103448276
16478,mass,165,0.04445043103448276
16039,lust,164,0.04418103448275862
8523,presence,164,0.04418103448275862
16259,excellent,164,0.04418103448275862
13966,develop,164,0.04418103448275862
8242,supreme,164,0.04418103448275862
5201,strength,163,0.04391163793103448
11073,middle,163,0.04391163793103448
